Loyalty Number,Total Flights Overall,Total Distance,Total Points Earned,Total Points Redeemed,Total Redemption Value,Inactive Months,Engagement Score,Customer Tenure,CLV,Salary,Loyalty Card,Education,Marital Status,Gender,Province,Cancelled,Avg Flights Per Month,Overall Redemption Ratio,Inactivity Percentage,Value Per Flight,Churn Risk,Value Segment,Engagement Segment,Customer Type,Recommended Action
100550,42,51687,51687.0,1114,201,8,0.5313770833333334,5,7861.8,54133.0,Nova,Bachelor,Married,Female,Quebec,0,0.6885245901639344,0.02155239127070113,0.1111111111111111,182.83255813953488,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100585,41,68112,68112.0,2397,432,10,0.4465333333333334,5,7334.33,96269.0,Star,Bachelor,Divorced,Male,Manitoba,0,0.6721311475409836,0.03519151997416058,0.1388888888888889,174.62690476190477,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100590,28,30948,46422.0,512,92,8,0.38087272727272714,0,34090.04,69841.0,Star,Bachelor,Married,Female,British Columbia,0,28.0,0.011029015789587059,0.1111111111111111,1175.518620689655,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
100642,36,53386,53386.0,502,90,9,0.33366250000000003,6,4892.63,51667.0,Nova,Bachelor,Married,Female,Quebec,0,0.4931506849315068,0.009403038192818477,0.125,132.23324324324324,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100644,29,45939,45939.0,2277,410,12,-0.10871458333333332,3,4458.11,94440.0,Star,Master,Divorced,Female,Alberta,0,0.7837837837837838,0.04956464954288202,0.16666666666666666,148.60366666666667,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100646,30,41715,41715.0,559,101,11,-0.030947916666666613,3,2471.53,101933.0,Star,Bachelor,Married,Female,Newfoundland,0,0.8108108108108109,0.013400134241058587,0.1527777777777778,79.7267741935484,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100727,48,75593,75593.0,1570,283,8,0.8057895833333335,4,3873.65,128118.0,Nova,Master,Married,Male,Quebec,0,0.9795918367346939,0.020768844088155144,0.1111111111111111,79.05408163265307,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100737,47,66830,66830.0,2357,425,9,0.6468541666666667,1,12786.67,,Star,College,Single,Female,British Columbia,0,3.6153846153846154,0.035268064221693526,0.125,266.38895833333333,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
100753,51,64171,64171.0,750,135,8,0.7969020833333333,3,2534.31,47717.0,Star,Bachelor,Divorced,Male,Quebec,0,1.3783783783783783,0.011687340273016269,0.1111111111111111,48.73673076923077,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
100816,31,47653,47653.0,0,0,10,0.11033125000000003,5,6273.91,97497.0,Aurora,Master,Divorced,Female,Ontario,0,0.5081967213114754,0.0,0.1388888888888889,196.0596875,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100853,39,47403,47403.0,579,104,11,0.19210208333333334,2,10153.89,,Star,College,Married,Male,Ontario,0,1.56,0.01221415914268838,0.1527777777777778,253.84724999999997,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
100883,34,53659,53659.0,0,0,12,0.043702083333333384,5,3561.04,,Star,College,Single,Female,Manitoba,0,0.5573770491803278,0.0,0.16666666666666666,101.744,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
100890,27,39394,39394.0,1612,290,11,-0.10795416666666664,4,8007.4,,Nova,College,Divorced,Female,Ontario,0,0.5510204081632653,0.040918898337352454,0.1527777777777778,285.9785714285714,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101018,41,71919,71919.0,1186,214,8,0.6369937500000001,4,4392.98,56523.0,Nova,Bachelor,Married,Female,Ontario,0,0.8367346938775511,0.016490545050055618,0.1111111111111111,104.5947619047619,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
101148,30,47570,47570.0,714,129,13,-0.1610208333333333,6,4770.55,45229.0,Nova,High School or Below,Single,Female,British Columbia,0,0.410958904109589,0.015009144226524563,0.18055555555555555,153.88870967741937,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
101356,0,0,0.0,0,0,24,-2.0,6,7482.64,50688.0,Nova,Bachelor,Married,Male,Ontario,0,0.0,0.0,0.3333333333333333,7482.64,1,Medium Value,Low Engagement,Disengaged,Launch reactivation campaigns with bonus incentives
101363,31,50697,50697.0,1760,317,13,-0.12064374999999998,2,12898.59,59310.0,Star,Bachelor,Married,Female,New Brunswick,0,1.24,0.03471537338751036,0.18055555555555555,403.0809375,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101487,56,72589,72589.0,2912,525,4,1.2870145833333333,6,14024.36,91817.0,Aurora,Bachelor,Married,Male,Quebec,0,0.7671232876712328,0.040115718418514947,0.05555555555555555,246.04140350877194,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101515,29,50433,50433.0,2043,368,12,-0.08062708333333328,4,7737.27,68711.0,Nova,Bachelor,Married,Male,New Brunswick,0,0.5918367346938775,0.04050838719911171,0.16666666666666666,257.909,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
101540,30,49094,49094.0,931,168,12,-0.06816249999999997,1,2688.88,69020.0,Star,Bachelor,Single,Female,Ontario,0,2.3076923076923075,0.018963234545269377,0.16666666666666666,86.73806451612903,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
101544,40,61432,61432.0,1722,310,9,0.46728333333333333,4,24249.34,56531.0,Nova,Bachelor,Married,Female,Quebec,0,0.8163265306122449,0.028030537333355036,0.125,591.4473170731708,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101547,17,32918,32918.0,576,104,17,-0.8567625,1,5619.69,,Star,College,Married,Female,Ontario,0,1.3076923076923077,0.01749749384853732,0.2361111111111111,312.205,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
101581,36,49542,49542.0,1104,199,10,0.22630416666666672,6,4595.46,87781.0,Star,Bachelor,Married,Male,Ontario,0,0.4931506849315068,0.022283672769109662,0.1388888888888889,124.20162162162163,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
101594,43,58229,58229.0,1319,237,8,0.5930979166666668,3,5205.75,239867.0,Star,Doctor,Divorced,Male,Ontario,0,1.162162162162162,0.022651554181693286,0.1111111111111111,118.3125,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
101644,2,2974,2974.0,0,0,23,-1.8564125,0,8382.63,101038.0,Star,Master,Married,Female,Ontario,0,2.0,0.0,0.3194444444444444,2794.2099999999996,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101663,41,60109,60109.0,961,173,9,0.4798479166666667,2,5129.74,94946.0,Aurora,Bachelor,Married,Male,Ontario,0,1.64,0.01598735651305939,0.125,122.13666666666666,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
101664,29,40987,40987.0,0,0,10,0.027002083333333333,5,9002.41,87654.0,Aurora,Bachelor,Married,Male,Nova Scotia,0,0.47540983606557374,0.0,0.1388888888888889,300.08033333333333,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101709,38,59596,59596.0,456,82,8,0.49747500000000006,3,8396.61,66733.0,Aurora,Bachelor,Single,Female,New Brunswick,1,1.027027027027027,0.007651391848582982,0.1111111111111111,215.29769230769233,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101768,1,1733,1733.0,0,0,23,-1.8850020833333332,0,13916.93,70267.0,Nova,Bachelor,Single,Male,British Columbia,0,1.0,0.0,0.3194444444444444,6958.465,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101876,12,18264,18264.0,1187,214,19,-1.2191833333333333,1,4949.53,,Aurora,College,Single,Male,Quebec,1,0.9230769230769231,0.06498768135778812,0.2638888888888889,380.7330769230769,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
101895,27,47305,47305.0,0,0,11,-0.05851041666666664,5,24543.2,81883.0,Nova,Bachelor,Single,Female,Ontario,0,0.4426229508196721,0.0,0.1527777777777778,876.5428571428572,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
101902,77,131909,131909.0,1302,235,17,0.505965625,1,6265.34,,Aurora,College,Married,Female,Ontario,0,5.923076923076923,0.0098703661587446,0.2361111111111111,80.3248717948718,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
101945,39,63004,63004.0,1219,219,8,0.5396083333333334,5,4202.66,86098.0,Star,Bachelor,Married,Male,Nova Scotia,0,0.639344262295082,0.01934767081977621,0.1111111111111111,105.06649999999999,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
102168,25,40495,40495.0,0,0,16,-0.55940625,0,7166.34,75265.0,Nova,Bachelor,Divorced,Female,Ontario,0,25.0,0.0,0.2222222222222222,275.6284615384615,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
102184,45,69058,69058.0,0,0,8,0.7024458333333333,2,4923.18,76887.0,Star,Bachelor,Married,Male,Alberta,0,1.8,0.0,0.1111111111111111,107.02565217391304,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
102207,25,37889,37889.0,0,0,14,-0.4090270833333333,6,6960.92,86413.0,Nova,Bachelor,Divorced,Male,Quebec,0,0.3424657534246575,0.0,0.19444444444444445,267.72769230769234,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
102299,48,59570,59570.0,0,0,8,0.7056458333333334,3,2089.34,,Star,College,Single,Female,Manitoba,0,1.2972972972972974,0.0,0.1111111111111111,42.639591836734695,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
102308,0,0,0.0,0,0,24,-2.0,0,12866.89,,Star,College,Single,Male,Quebec,0,0.0,0.0,0.3333333333333333,12866.89,1,High Value,Low Engagement,At-Risk Premium,Provide personalized retention offers and priority outreach
102311,51,83581,83581.0,1396,252,8,0.9182145833333334,2,7507.46,76485.0,Star,Bachelor,Single,Female,Ontario,0,2.04,0.016702160752315093,0.1111111111111111,144.37423076923076,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
102376,73,79580,119370.0,556,100,5,3.856,0,12765.78,,Aurora,College,Single,Male,Ontario,0,73.0,0.004657747694163574,0.06944444444444445,172.51054054054055,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
102464,14,17067,17067.0,761,137,16,-0.9349979166666667,2,2725.68,60563.0,Star,Bachelor,Married,Male,Quebec,0,0.56,0.044586360440590576,0.2222222222222222,181.712,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
102615,2,4556,4556.0,0,0,23,-1.846525,0,7590.05,51630.0,Aurora,Doctor,Married,Female,Saskatchewan,0,2.0,0.0,0.3194444444444444,2530.016666666667,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
102726,21,25020,25020.0,1426,256,16,-0.7394583333333333,1,8044.87,84147.0,Nova,Bachelor,Married,Male,Saskatchewan,0,1.6153846153846154,0.05699212661364454,0.2222222222222222,365.6759090909091,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
102730,27,41890,41890.0,0,0,15,-0.4256875,1,2453.57,80919.0,Star,High School or Below,Single,Male,New Brunswick,0,2.076923076923077,0.0,0.20833333333333334,87.62750000000001,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
102740,5,8927,8927.0,0,0,22,-1.6733729166666667,0,16922.13,100571.0,Star,Bachelor,Married,Female,Ontario,0,5.0,0.0,0.3055555555555556,2820.355,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
102788,84,135657,203485.5,0,0,3,5.739218181818182,0,11124.21,31170.0,Nova,Bachelor,Single,Male,Quebec,0,84.0,0.0,0.041666666666666664,130.8730588235294,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
102851,39,53975,53975.0,1247,224,8,0.48317708333333337,4,19435.63,60216.0,Star,Bachelor,Single,Female,British Columbia,0,0.7959183673469388,0.023102860530606194,0.1111111111111111,485.89075,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
102877,45,75358,75358.0,908,163,10,0.5751541666666666,4,2863.04,,Nova,College,Married,Female,Ontario,0,0.9183673469387755,0.012048992157539245,0.1388888888888889,62.24,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
102982,29,34835,34835.0,0,0,14,-0.34478125000000004,2,5235.57,84442.0,Aurora,Bachelor,Married,Male,British Columbia,0,1.16,0.0,0.19444444444444445,174.51899999999998,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
103043,43,66356,66356.0,449,81,8,0.6438916666666666,0,3351.21,97920.0,Star,Bachelor,Married,Male,Ontario,0,43.0,0.006766430067664301,0.1111111111111111,76.16386363636364,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103151,31,52486,52486.0,912,164,9,0.22387083333333338,5,32613.69,64962.0,Aurora,Bachelor,Married,Female,British Columbia,0,0.5081967213114754,0.017375731133423514,0.125,1019.1778125,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103217,36,56399,56399.0,0,0,13,0.019160416666666718,5,6439.33,,Star,College,Single,Male,Quebec,0,0.5901639344262295,0.0,0.18055555555555555,174.03594594594594,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
103304,37,62563,62563.0,947,170,7,0.5785187500000001,5,2683.47,67227.0,Star,Bachelor,Married,Male,Alberta,0,0.6065573770491803,0.015136500223770858,0.09722222222222222,70.61763157894737,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103340,44,62122,62122.0,0,0,11,0.3882625,1,7577.07,,Star,College,Single,Male,British Columbia,0,3.3846153846153846,0.0,0.1527777777777778,168.37933333333334,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
103352,0,0,0.0,0,0,24,-2.0,4,5555.49,69742.0,Aurora,Bachelor,Married,Male,Quebec,1,0.0,0.0,0.3333333333333333,5555.49,1,Medium Value,Low Engagement,Disengaged,Launch reactivation campaigns with bonus incentives
103359,53,82249,82249.0,564,102,6,1.1182229166666666,2,4502.87,,Star,College,Single,Female,British Columbia,0,2.12,0.006857142857142857,0.08333333333333333,83.38648148148148,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103362,3,4485,4485.0,0,0,23,-1.8261354166666666,0,4807.0,,Star,College,Single,Male,Quebec,0,3.0,0.0,0.3194444444444444,1201.75,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
103383,0,0,0.0,0,0,24,-2.0,3,13466.92,65018.0,Aurora,Doctor,Married,Male,Ontario,1,0.0,0.0,0.3333333333333333,13466.92,1,High Value,Low Engagement,At-Risk Premium,Provide personalized retention offers and priority outreach
103436,49,86455,86455.0,902,162,7,0.97784375,5,5015.01,67445.0,Star,Bachelor,Single,Male,Quebec,0,0.8032786885245902,0.010433052651059498,0.09722222222222222,100.3002,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103490,45,74308,74308.0,0,0,8,0.7352583333333333,5,17651.96,65543.0,Nova,High School or Below,Single,Male,British Columbia,0,0.7377049180327869,0.0,0.1111111111111111,383.7382608695652,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103502,18,30244,30244.0,344,62,16,-0.7693083333333334,1,2580.85,66226.0,Star,Bachelor,Married,Male,Ontario,0,1.3846153846153846,0.011373780790213258,0.2222222222222222,135.8342105263158,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
103536,59,80954,80954.0,539,97,5,1.3184625,6,9202.64,,Nova,College,Married,Female,British Columbia,0,0.8082191780821918,0.006658019887591872,0.06944444444444445,153.37733333333333,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103699,24,36719,36719.0,0,0,16,-0.6038395833333333,0,5595.39,86388.0,Nova,Bachelor,Single,Male,Alberta,0,24.0,0.0,0.2222222222222222,223.81560000000002,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
103731,33,53860,53860.0,489,88,11,0.10745833333333336,2,4015.34,90487.0,Nova,Bachelor,Married,Female,Manitoba,0,1.32,0.009078925382001819,0.1527777777777778,118.09823529411766,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
103758,18,27295,27295.0,0,0,19,-1.0377395833333334,0,14727.51,103461.0,Star,Bachelor,Single,Female,British Columbia,0,18.0,0.0,0.2638888888888889,775.1321052631579,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103823,42,57809,57809.0,1014,183,8,0.5696395833333333,4,4812.53,52820.0,Nova,High School or Below,Married,Female,Ontario,0,0.8571428571428571,0.017540217955371043,0.1111111111111111,111.91930232558138,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103860,40,65428,65428.0,1794,322,7,0.6589250000000001,4,3358.53,75348.0,Nova,Bachelor,Married,Male,Ontario,0,0.8163265306122449,0.027419034373137294,0.09722222222222222,81.91536585365854,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
103862,37,69191,69191.0,2686,482,10,0.36994375,5,4878.83,299560.0,Star,Doctor,Married,Female,Ontario,0,0.6065573770491803,0.038819516707133774,0.1388888888888889,128.39026315789474,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
103916,36,54436,54436.0,892,160,11,0.17355833333333334,4,3803.92,60894.0,Star,High School or Below,Married,Female,Alberta,0,0.7346938775510204,0.0163859139923214,0.1527777777777778,102.80864864864866,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
103969,33,46744,46744.0,1131,203,10,0.14631666666666668,3,31410.93,52405.0,Aurora,Bachelor,Married,Male,Ontario,0,0.8918918918918919,0.024195101080329448,0.1388888888888889,923.8508823529412,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103970,45,56234,56234.0,0,0,7,0.7056291666666668,3,8257.67,221857.0,Aurora,Doctor,Married,Female,British Columbia,0,1.2162162162162162,0.0,0.09722222222222222,179.5145652173913,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
103975,15,18061,18061.0,1102,198,20,-1.2412854166666667,0,2411.26,71775.0,Star,Bachelor,Married,Male,Ontario,0,15.0,0.061012069538257115,0.2777777777777778,150.70375,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
103985,4,6269,6269.0,0,0,21,-1.6274854166666666,0,2761.69,,Nova,College,Single,Male,Ontario,0,4.0,0.0,0.2916666666666667,552.338,0,Low Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
104103,32,40470,40470.0,742,134,12,-0.08039583333333329,2,8262.88,,Nova,College,Married,Male,British Columbia,0,1.28,0.018334115786612638,0.16666666666666666,250.39030303030302,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
104267,38,61606,92409.0,0,0,6,1.7564727272727274,0,2701.04,28642.0,Star,Bachelor,Married,Male,Ontario,0,38.0,0.0,0.08333333333333333,69.2574358974359,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
104353,42,73980,73980.0,526,95,8,0.6707083333333334,4,15777.89,104140.0,Star,Bachelor,Married,Male,Saskatchewan,0,0.8571428571428571,0.007109933631608115,0.1111111111111111,366.9276744186046,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
104431,43,77644,77644.0,1771,320,10,0.547775,4,2822.59,243591.0,Nova,Doctor,Married,Female,Manitoba,0,0.8775510204081632,0.022808938115783373,0.1388888888888889,64.14977272727273,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
104541,34,40283,40283.0,1472,264,8,0.29343541666666667,5,8621.0,64827.0,Nova,Bachelor,Married,Female,Ontario,0,0.5573770491803278,0.03654056200973091,0.1111111111111111,246.31428571428572,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
104586,40,65640,65640.0,473,85,11,0.3269166666666667,2,7772.58,86609.0,Aurora,Bachelor,Divorced,Male,Ontario,0,1.6,0.007205862189789918,0.1527777777777778,189.5751219512195,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
104673,48,64770,64770.0,546,98,8,0.7381458333333333,6,14723.41,60006.0,Aurora,Bachelor,Married,Male,Ontario,0,0.6575342465753424,0.008429698476169891,0.1111111111111111,300.4777551020408,0,High Value,High Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
104732,37,54081,54081.0,403,73,12,0.10883958333333336,2,8382.48,50930.0,Nova,Bachelor,Married,Female,British Columbia,0,1.48,0.007451647498243408,0.16666666666666666,220.59157894736842,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
104739,0,0,0.0,0,0,24,-2.0,5,5498.94,65565.0,Nova,High School or Below,Married,Female,Quebec,1,0.0,0.0,0.3333333333333333,5498.94,1,Medium Value,Low Engagement,Disengaged,Launch reactivation campaigns with bonus incentives
104849,35,53641,53641.0,363,65,8,0.39775625000000003,4,2816.76,63326.0,Nova,Bachelor,Married,Female,Ontario,0,0.7142857142857143,0.006767085492710935,0.1111111111111111,78.24333333333334,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
104960,32,48555,48555.0,589,106,15,-0.2798645833333333,6,2551.23,90265.0,Star,Bachelor,Married,Male,Newfoundland,0,0.4383561643835616,0.012130323749897027,0.20833333333333334,77.31,0,Low Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
105063,27,40695,61042.5,0,0,7,0.6944545454545455,0,7251.33,236405.0,Star,Doctor,Divorced,Male,Quebec,0,27.0,0.0,0.09722222222222222,258.9760714285714,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
105073,52,43874,65811.0,0,0,4,2.4340727272727274,0,7562.82,,Aurora,College,Single,Male,Ontario,0,52.0,0.0,0.05555555555555555,142.69471698113207,0,Medium Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
105074,46,66078,66078.0,1567,281,7,0.7879875,4,2799.75,79727.0,Nova,Bachelor,Married,Male,Ontario,0,0.9387755102040817,0.02371403925604201,0.09722222222222222,59.569148936170215,0,Low Value,High Engagement,Stable,Maintain engagement through periodic offers and reminders
105145,0,0,0.0,0,0,24,-2.0,6,4839.11,,Star,College,Single,Male,Ontario,0,0.0,0.0,0.3333333333333333,4839.11,1,Medium Value,Low Engagement,Disengaged,Launch reactivation campaigns with bonus incentives
105193,3,6621,6621.0,0,0,23,-1.8127854166666666,0,8838.09,92396.0,Nova,Bachelor,Married,Female,New Brunswick,0,3.0,0.0,0.3194444444444444,2209.5225,0,High Value,Low Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
105214,35,52473,52473.0,1847,333,10,0.22378958333333335,5,5897.99,88863.0,Star,Bachelor,Divorced,Male,British Columbia,0,0.5737704918032787,0.035198383961580974,0.1388888888888889,163.83305555555555,0,Medium Value,Moderate Engagement,Stable,Maintain engagement through periodic offers and reminders
105251,10,20733,20733.0,0,0,21,-1.4120854166666668,4,5074.25,80885.0,Star,Bachelor,Married,Female,Ontario,1,0.20408163265306123,0.0,0.2916666666666667,461.29545454545456,0,Medium Value,Low Engagement,Stable,Maintain engagement through periodic offers and reminders
105335,36,62882,62882.0,2193,394,11,0.22634583333333336,4,11611.95,53065.0,Nova,Bachelor,Single,Male,British Columbia,0,0.7346938775510204,0.034874290348742905,0.1527777777777778,313.8364864864865,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
105352,0,0,0.0,0,0,24,-2.0,4,3923.27,,Star,College,Single,Female,British Columbia,1,0.0,0.0,0.3333333333333333,3923.27,1,Low Value,Low Engagement,Disengaged,Launch reactivation campaigns with bonus incentives
105552,30,58554,58554.0,819,148,13,-0.09237083333333333,3,8256.3,77935.0,Nova,Bachelor,Married,Male,Prince Edward Island,0,0.8108108108108109,0.013986849970113568,0.18055555555555555,266.3322580645161,0,High Value,Moderate Engagement,Loyal High Value,Offer exclusive upgrades and premium loyalty benefits
